[17-10-21 15:50:36]	 Pacman collected 1 points!

[17-10-21 15:53:26]	 Pacman collected 1 points!
[17-10-21 15:53:27]	 Pacman collected 1 points!
[17-10-21 15:53:28]	 Pacman collected 1 points!
[17-10-21 15:53:28]	 Pacman collected 1 points!
[17-10-21 15:53:28]	 Pacman collected 1 points!
[17-10-21 15:53:28]	 Pacman collected 1 points!
[17-10-21 15:53:28]	 Pacman collected 1 points!
[17-10-21 15:53:29]	 Pacman collected 1 points!
[17-10-21 15:53:29]	 Pacman collected 1 points!
[17-10-21 15:53:30]	 Pacman collected 1 points!
[17-10-21 15:53:31]	 Pacman collected 1 points!
[17-10-21 15:53:31]	 Pacman collected 1 points!
[17-10-21 15:53:31]	 Pacman collected 1 points!
[17-10-21 15:53:31]	 Pacman collected 1 points!
[17-10-21 15:53:32]	 Pacman collected 1 points!
[17-10-21 15:53:32]	 Pacman collected 1 points!
[17-10-21 15:53:32]	 Pacman collected 1 points!
[17-10-21 15:53:32]	 Pacman collected 1 points!
[17-10-21 15:53:34]	 Pacman collected 1 points!
[17-10-21 15:53:35]	 Pacman collected 1 points!
[17-10-21 15:53:35]	 Pacman collected 1 points!
[17-10-21 15:53:36]	 Pacman collected 1 points!
[17-10-21 15:53:36]	 Pacman collected 5 points!
[17-10-21 15:53:36]	 Pacman collected 5 points!
[17-10-21 15:53:36]	 Pacman collected 1 points!
[17-10-21 15:53:38]	 Pacman collected 1 points!
[17-10-21 15:53:39]	 Pacman collected 1 points!
[17-10-21 15:53:40]	 Pacman collected 1 points!
[17-10-21 15:53:40]	 Pacman collected 5 points!
[17-10-21 15:53:40]	 Pacman collected 1 points!
[17-10-21 15:53:41]	 Pacman collected 5 points!
[17-10-21 15:53:41]	 Pacman collected 1 points!
[17-10-21 15:53:41]	 Pacman collected 1 points!
[17-10-21 15:53:42]	 Pacman collected 1 points!
[17-10-21 15:53:42]	 Pacman collected 1 points!
[17-10-21 15:53:43]	 Pacman collected 1 points!
[17-10-21 15:53:43]	 Pacman collected 5 points!
[17-10-21 15:53:43]	 Pacman collected 1 points!
[17-10-21 15:53:44]	 Pacman collected 5 points!
